,subscribers,youtuber,uploads,country,channel_type,highest_yearly_earnings,video_views,estimate_money,money_per_1000_views
196,16600000,Younes Zarou,2200.0,Germany,Entertainment,29600000.0,15278668857.0,121976400.0,7.983444182319318
197,16100000,Panda Shorts,667.0,Sweden,Sports,23000000.0,7155736006.0,124628000.0,17.416517308003105
198,15300000,ILYA BORZOV,2175.0,Russia,People,22800000.0,9938811455.0,90836100.0,9.139533475534677
199,15100000,Rub������,921.0,Argentina,Comedy,24600000.0,9477021288.0,215268500.0,22.714784894761966
200,15100000,Chapitosiki,2717.0,Russia,Entertainment,34200000.0,13897932103.0,163296000.0,11.749661661158282
201,14800000,Filaretiki,2222.0,United States,People,57800000.0,15788208522.0,224960000.0,14.248608364054137
202,13500000,Woody & Kleiny,975.0,United Kingdom,Entertainment,23800000.0,11717217293.0,273910600.0,23.376762003350176
203,13000000,GH'S,510.0,South Korea,Games,51900000.0,8739174649.0,265960200.0,30.433102745055347
204,12400000,_vector_,398.0,United States,Comedy,43400000.0,7597013023.0,249683400.0,32.86599604924753
205,12300000,Natan por A,1200.0,Brazil,Entertainment,26500000.0,9029609749.0,200004300.0,22.14982768465158
206,35200000,Ryan's World,2453.0,United States,Entertainment,11500000.0,55299840198.0,109165600.0,1.9740671873396867
207,32700000,DisneyMusicVEVO,2068.0,United States,Music,15800000.0,28516250629.0,224020000.0,7.855871478846511
208,33500000,Rajshri,3741.0,India,Entertainment,13100000.0,14864294792.0,237337000.0,15.966919609784338
209,32600000,The Weeknd,169.0,Canada,Music,17900000.0,23379969006.0,237698500.0,10.166758558961282
210,25600000,TaylorSwiftVEVO,287.0,United States,Music,15300000.0,25592378292.0,239198400.0,9.346470158843024
211,24100000,Daniel LaBelle,287.0,United States,Comedy,19100000.0,12916159065.0,291058200.0,22.53442362665731
212,18000000,How Ridiculous,650.0,Australia,Sports,18800000.0,9601137077.0,300440000.0,31.292126921062188
213,15000000,Ray William Johnson,1803.0,United States,Comedy,15000000.0,10239836582.0,254134400.0,24.818208568555455
214,14100000,Supercar Blondie,855.0,United Arab Emirates,Autos,17000000.0,5405563355.0,293820800.0,54.35525970262169
215,26700000,Beast Reacts,241.0,United States,Entertainment,13300000.0,4388047013.0,114441000.0,26.08016725002212
216,24800000,America's Got Talent,1894.0,United States,Entertainment,6500000.0,3699352704.0,117432000.0,31.743931816240252
217,24100000,Super JoJo - Nursery Rhymes & Kids Songs,36.0,United States,Education,15800000.0,329774870.0,92560400.0,280.67754222752023
218,21900000,Ben Azelart,301.0,United States,Entertainment,8900000.0,4454917643.0,95023200.0,21.329956604093386
219,21900000,Zach Choi ASMR,946.0,United States,People,11200000.0,5918314128.0,121205400.0,20.47971726045563
220,21800000,Stokes Twins,257.0,United States,People,9500000.0,4469711607.0,153656100.0,34.37718437121529
221,20200000,Ami Rodriguez,460.0,Colombia,Entertainment,12700000.0,2951914200.0,204732000.0,69.35567436208004
